WKT;id;zona;tipologia;n_posti;fumetto;anno;nr_moduli;tot_bici;foto;codice_via;civico;barra;edificio;Tipo_generale;categoria
"LINESTRING (665774.087564519 5104621.34492364,665774.033693049 5104619.67490806)";"418";COGNOLA;Archetto;"2";;"2023";"4";"8";418.JPG;"7686";"2";"2";"SCUOLA PRIMARIA ""E. BERNARDI""";Rastr_bloccatelaio;SCUOLA
"LINESTRING (664244.826249843 5103736.23854161,664245.461249844 5103728.3010416)";"23";ZTL;Metallo 3 posti;"3";PIAZZA DELLE ERBE - nr. posti 18;"2022";"6";"18";23.jpg;"1070";"1";;;Rastr_tradizionale;
"LINESTRING (664076.916924094 5103952.77757287,664077.142915907 5103948.70972023)";"7";ZTL;Metallo 4 posti;"4";VIA R. BELENZANI - nr. posti 4;"2022";"1";"4";7.jpg;"240";"3";;UFFICI COMUNALI PALAZZO THUN;Rastr_tradizionale;
"LINESTRING (664225.974687325 5103702.54385408,664227.86645816 5103702.76874991)";"24";ZTL;Metallo 5 posti;"5";P.ZZA ALESSANDRO VITTORIA - nr. posti 5;"2022";"1";"5";24.jpg;"3490";"6";;;Rastr_tradizionale;
"LINESTRING (664070.469562633 5103959.02464582,664075.516713137 5103959.62729066)";"8";ZTL;Metallo 4 posti;"4";VIA R. BELENZANI - nr. posti 16;"2022";"4";"16";8.jpg;"240";"3";;UFFICI COMUNALI PALAZZO THUN;Rastr_tradizionale;
"LINESTRING (664956.224371428 5097045.95224844,664957.786644064 5097045.62901962)";"439";MATTARELLO;Bronzetti 7 posti;"5";;"2023";"1";"5";439.JPG;"7750";"1";;"SCUOLA SECONDARIA ""A. FOGAZZARO""";Rastr_tradizionale;SCUOLA
"LINESTRING (664997.032010123 5101682.15791174,664999.510097753 5101681.61919704)";"440";OLTREFERSINA;Archetto;"2";;"2023";"5";"10";440.JPG;"2080";"22";;"SCUOLA PRIMARIA ""O. WINKLER""";Rastr_bloccatelaio;SCUOLA
"LINESTRING (664324.137864586 5103440.2873438,664324.137864586 5103439.6920313)";"284";S. GIUSEPPE_S. CHIARA;Rotonda 8 posti;"8";;"2022";"1";"8";284.jpg;"2290";"1";;"CONSERVATORIO MUSICA ""F.A. BONPORTI""";Rastr_tradizionale;SCUOLA
"LINESTRING (664163.117108509 5103776.47063158,664170.08558819 5103774.88222813)";"26";ZTL;Metallo 4 posti;"4";PIAZZA LODRON - nr. posti 8;"2022";"2";"8";26.jpg;"1550";"30";;;Rastr_tradizionale;
"LINESTRING (664268.43766653 5103566.91243577,664271.665712264 5103567.27110752)";"31";ZTL;Garzetti;"12";PIAZZA G.B. GARZETTI - nr. posti 12;"2022";"1";"12";31.jpg;"1260";"16";;;Rastr_tradizionale;
"LINESTRING (665809.804349279 5104595.0017747,665811.043393094 5104594.73241735)";"419";COGNOLA;Archetto;"2";;"2023";"3";"6";419.JPG;"7686";"2";A;TEATRO COMUNALE;Rastr_bloccatelaio;
"LINESTRING (664102.95192628 5102700.15139277,664103.904315394 5102697.05612815)";"93";S. GIUSEPPE_S. CHIARA;3 posti doppia;"6";;"2022";"1";"6";93.jpg;"3510";"50";;;Rastr_tradizionale;
"LINESTRING (664050.173696182 5102684.11950934,664051.205451056 5102680.82583032)";"95";S. GIUSEPPE_S. CHIARA;3 posti doppia;"6";;"2022";"1";"6";95.jpg;"3510";"30";;;Rastr_tradizionale;
"LINESTRING (666250.728865203 5104429.5759575,666250.405636382 5104428.44465663)";"420";COGNOLA;Archetto;"2";;"2023";"4";"8";420.JPG;"7686";"79";;"PARCHEGGIO ""ORRIDO""";Rastr_bloccatelaio;
"LINESTRING (663150.775918305 5100415.46456447,663152.230448001 5100416.4881224)";"431";RAVINA;Archetto;"2";;"2023";"7";"14";431.JPG;"8780";"5";;;Rastr_bloccatelaio;
"LINESTRING (663012.272368356 5100415.30295006,663012.811083058 5100414.38713507)";"432";RAVINA;Rotonda 6 posti;"6";;"2023";"1";"6";432.JPG;"8870";"2";;CENTRO CIVICO;Rastr_tradizionale;
"LINESTRING (662992.178309962 5100401.2963678,662992.770896135 5100399.78796664)";"433";RAVINA;Rotonda 6 posti;"6";;"2023";"1";"6";433.JPG;"8870";"2";;CENTRO CIVICO;Rastr_tradizionale;
"LINESTRING (664081.205708164 5102869.73617948,664081.999365759 5102867.11710942)";"77";S. GIUSEPPE_S.CHIARA;Bronzetti 7 posti;"7";;"2022";"1";"7";77.jpg;"460";"1";;UFFICI COMUNALI;Rastr_tradizionale;
"LINESTRING (664082.118414399 5102866.6607563,664082.673974715 5102863.96232047)";"78";S. GIUSEPPE_S. CHIARA;Bronzetti 6 posti;"6";;"2022";"1";"6";78.jpg;"460";"1";;UFFICI COMUNALI;Rastr_tradizionale;
"LINESTRING (664367.736476668 5103807.71519483,664357.924356578 5103814.25147188)";"20";ZTL;Metallo 4 posti;"4";VIA G. GALILEI - nr. posti 12;"2022";"3";"12";20.jpg;"1200";"6";;;Rastr_tradizionale;
"LINESTRING (662966.750976016 5098132.53980287,662968.420991593 5098131.408502)";"436";ROMAGNANO;Metallo 4 posti;"4";;"2023";"1";"4";436.JPG;"8920";;;PARCO;Rastr_tradizionale;
"LINESTRING (662968.474863063 5098129.68461495,662967.666791009 5098128.60718555)";"437";ROMAGNANO;Metallo 4 posti;"4";;"2023";"1";"4";437.JPG;"8920";;;PARCO;Rastr_tradizionale;
"LINESTRING (664244.032499842 5103744.59937495,664244.773333176 5103736.55604161)";"22";ZTL;Metallo 4 posti;"4";PIAZZA DELLE ERBE - nr. posti 12;"2022";"3";"12";22.jpg;"1070";"1";;;Rastr_tradizionale;
"LINESTRING (664069.151111961 5103411.84434664,664072.789068265 5103412.04930192)";"51";S. GIUSEPPE_S.CHIARA;Metallo 5 posti;"5";VIA DEL TRAVAI - nr. posti 5;"2022";"1";"5";51.jpg;"3340";"36";;;Rastr_tradizionale;
"LINESTRING (664034.696909949 5104132.31955132,664036.73394301 5104121.74637972)";"56";CENTRO STORICO_PIEDICASTELLO;Metallo 4 posti;"4";PIAZZA DANTE - nr. posti 12;"2022";"3";"12";56.jpg;"880";"32";;BIBLIOTECA GIOVANILE;Rastr_tradizionale;
"LINESTRING (662994.737204797 5098080.04205514,662994.683333327 5098078.53365397)";"438";ROMAGNANO;Metallo 4 posti;"4";;"2023";"1";"4";438.JPG;"8960";"8";;;Rastr_tradizionale;
"LINESTRING (664168.704584855 5104512.66272418,664171.711633658 5104513.82674308)";"57";CENTRO STORICO_PIEDICASTELLO;Metallo 5 posti;"5";VIA C. VANNETTI - nr. posti 5;"2022";"1";"5";57.jpg;"3370";"23";;;Rastr_tradizionale;
"LINESTRING (664782.25319227 5096531.97717714,664782.953521383 5096532.24653449)";"404";MATTARELLO;Metallo 4 posti;"4";;"2023";"1";"4";404.JPG;"7785";"23";;CIMITERO MATTARELLO;Rastr_tradizionale;
"LINESTRING (664769.808882647 5096927.07053979,664771.748255575 5096926.20859627)";"405";MATTARELLO;Mattarello;"4";;"2023";"2";"8";405.jpg;"7730";"4";;CENTRO CIVICO MATTARELLO;Rastr_tradizionale;
"LINESTRING (664781.418184481 5096911.55555636,664781.09495566 5096910.47812696)";"406";MATTARELLO;A pavimento 4 posti;"4";;"2023";"1";"4";406.JPG;"7730";"6";;CIRCOLO ANZIANI MATTARELLO;Rastr_tradizionale;
"LINESTRING (663541.540614899 5106990.26919439,663545.463620929 5106988.6747241)";"68";GARDOLO;Corten;"10";PARCO DI MELTA - nr. posti 10;"2022";"1";"10";68.jpg;"5903";;;;Rastr_tradizionale;
"LINESTRING (659316.548098074 5104251.05516464,659316.938666233 5104251.06863251)";"355";SOPRAMONTE;Androna;"5";;"2023";"1";"5";355.JPG;"8072";"1";;"SCUOLA PRIMARIA ""S. PERTINI""";Rastr_tradizionale;SCUOLA
"LINESTRING (663867.305583934 5105565.65485696,663870.653820198 5105557.54363671)";"63";CENTRO STORICO_PIEDICASTELLO;Archetto;"2";VIA DEL BRENNERO - nr. posti 9;"2022";"9";"18";63.jpg;"400";"99";;;Rastr_bloccatelaio;
"LINESTRING (663887.701530191 5105516.84016593,663876.666497996 5105542.87152393)";"64";CENTRO STORICO_PIEDICASTELLO;Archetto;"2";VIA DEL BRENNERO - nr. posti 29;"2022";"29";"58";64.jpg;"400";"99";;;Rastr_bloccatelaio;
"LINESTRING (664070.491330625 5102874.12113769,664071.523085499 5102870.390947)";"75";S. GIUSEPPE_S.CHIARA;Bronzetti 7 posti;"7";;"2022";"2";"14";75.jpg;"460";"1";;UFFICI COMUNALI;Rastr_tradizionale;
"LINESTRING (663567.691562283 5107166.33343761,663568.855728951 5107161.88843761)";"70";GARDOLO;Archetto;"2";PARCO DI MELTA - nr. posti 20;"2023";"10";"20";70.jpg;"5903";;;;Rastr_tradizionale;
"LINESTRING (659317.235395632 5104251.05415186,659317.611623298 5104251.08311316)";"356";SOPRAMONTE;Androna;"5";;"2023";"1";"5";356.JPG;"8072";"1";;"SCUOLA PRIMARIA ""S. PERTINI""";Rastr_tradizionale;SCUOLA
"LINESTRING (663889.943317609 5104188.52614524,663890.761818561 5104186.44268828)";"103";CENTRO STORICO_PIEDICASTELLO;Foti 6 posti;"6";;"2022";"1";"6";103.jpg;"880";"1";;STAZIONE - TRENTO CENTRO;Rastr_bloccatelaio;STAZIONE
"LINESTRING (663791.342275792 5107059.53844691,663791.342275792 5107059.53844691,663793.904856575 5107064.95662068,663793.904856575 5107064.95662068)";"71";GARDOLO;Archetto;"2";PARCO DI MELTA - nr. posti 20;"2023";"5";"10";71.jpg;"5903";;;;Rastr_tradizionale;
"LINESTRING (659317.948276066 5104251.06607821,659318.312868957 5104251.07118682)";"357";SOPRAMONTE;Androna;"5";;"2023";"1";"5";357.JPG;"8072";"1";;"SCUOLA PRIMARIA ""S. PERTINI""";Rastr_tradizionale;SCUOLA
"LINESTRING (659318.575012141 5104251.06189858,659319.059855373 5104251.10230218)";"358";SOPRAMONTE;Androna;"5";;"2023";"1";"5";358.JPG;"8072";"1";;"SCUOLA PRIMARIA ""S. PERTINI""";Rastr_tradizionale;SCUOLA
"LINESTRING (659319.32247879 5104251.11577005,659319.672643347 5104251.11577005)";"359";SOPRAMONTE;Androna;"5";;"2023";"1";"5";359.JPG;"8072";"1";;"SCUOLA PRIMARIA ""S. PERTINI""";Rastr_tradizionale;SCUOLA
"LINESTRING (659326.32576992 5104251.27738446,659326.891420358 5104251.25044872)";"400";SOPRAMONTE;Androna;"5";;"2023";"1";"5";400.JPG;"8072";"1";;"SCUOLA PRIMARIA ""S. PERTINI""";Rastr_tradizionale;SCUOLA
"LINESTRING (663398.940312109 5107163.31718761,663404.337812115 5107163.21135428)";"69";GARDOLO;Corten;"10";PARCO DI MELTA - nr. posti 20;"2022";"2";"20";69.jpg;"5903";;;;Rastr_tradizionale;
"LINESTRING (659327.160777709 5104251.24371479,659327.497474397 5104251.23024692)";"401";SOPRAMONTE;Androna;"5";;"2023";"1";"5";401.JPG;"8072";"1";;"SCUOLA PRIMARIA ""S. PERTINI""";Rastr_tradizionale;SCUOLA
"LINESTRING (659327.746044641 5104251.209048,659328.178187016 5104251.18410651)";"402";SOPRAMONTE;Androna;"5";;"2023";"1";"5";402.JPG;"8072";"1";;"SCUOLA PRIMARIA ""S. PERTINI""";Rastr_tradizionale;SCUOLA
"LINESTRING (664109.09292277 5103470.93605725,664109.048064237 5103474.06770299)";"442";CENTRO STORICO-PIEDICASTELLO;Rotonda 6 posti;"6";;"2023";"1";"6";442.JPG;"3320";"4";;"SCUOLA SECONDARIA ""G. BRESADOLA""";Rastr_tradizionale;SCUOLA
"LINESTRING (664109.016622033 5103474.46818878,664109.016622033 5103479.58597845)";"443";CENTRO STORCIO-PIEDICASTELLO;Bronzetti 7 posti;"7";;"2023";"3";"21";443.JPG;"3320";"4";;"SCUOLA SECONDARIA ""G. BRESADOLA""";Rastr_tradizionale;SCUOLA
"LINESTRING (664179.887978712 5104338.74897337,664185.989531263 5104335.92142463)";"107";CENTRO STORICO_PIEDICASTELLO;Archetto;"2";;"2022";"7";"14";107.jpg;"2650";"17";;;Rastr_bloccatelaio;
"LINESTRING (664111.440838193 5103479.61291419,664111.386966723 5103476.75772627)";"444";CENTRO STORICO-PIEDICASTELLO;Bronzetti 7 posti;"6";;"2023";"2";"12";444.JPG;"3320";"4";;"SCUOLA SECONDARIA ""G. BRESADOLA""";Rastr_tradizionale;SCUOLA
"LINESTRING (664079.261247055 5102876.89893928,664081.166025284 5102870.15284972)";"76";S. GIUSEPPE_S.CHIARA;Bronzetti 5 posti;"5";;"2022";"3";"15";76.jpg;"460";"1";;UFFICI COMUNALI;Rastr_tradizionale;
"LINESTRING (663951.591321131 5104289.75983117,663953.749187277 5104283.65827862)";"100";CENTRO STORICO_PIEDICASTELLO;Metallo 4 posti;"4";;"2022";"5";"20";100.jpg;"880";"13";;STAZIONE - TRENTO CENTRO;Rastr_tradizionale;STAZIONE
"LINESTRING (663925.250472311 5104231.05099016,663935.22130209 5104253.52256175)";"101";CENTRO STORICO_PIEDICASTELLO;Dante;"6";;"2022";"7";"42";101.jpg;"880";"9";;STAZIONE - TRENTO CENTRO;Rastr_bloccatelaio;STAZIONE
"LINESTRING (663923.167015342 5104226.43762116,663919.297738115 5104218.17820246)";"102";CENTRO STORICO_PIEDICASTELLO;Dante;"6";;"2022";"3";"18";102.jpg;"880";"9";;STAZIONE - TRENTO CENTRO;Rastr_bloccatelaio;STAZIONE
"LINESTRING (663890.826926591 5104186.25666533,663891.198972479 5104185.28934603)";"104";CENTRO STORICO_PIEDICASTELLO;Foti 4 posti;"4";;"2022";"1";"4";104.jpg;"880";"1";;STAZIONE - TRENTO CENTRO;Rastr_bloccatelaio;STAZIONE
"LINESTRING (662455.070026055 5107308.71439177,662454.919802975 5107304.73348016)";"67";GARDOLO;Onda;"6";VIA L. CANEPPELE - nr. posti 6;"2022";"1";"6";67.jpg;"5080";"19";;PARCO RONCAFORT;Rastr_tradizionale;
"LINESTRING (664160.298095337 5104443.80966634,664157.912462108 5104438.13350452)";"72";CENTRO STORICO_PIEDICASTELLO;Metallo 4 posti;"4";;"2022";"1";"4";72.jpg;"3370";"15";;;Rastr_tradizionale;
"LINESTRING (663915.71754192 5103480.55718369,663916.490769817 5103476.05426829)";"73";CENTRO STORICO_PIEDICASTELLO;Metallo 4 posti;"4";;"2022";"2";"8";73.jpg;"2670";"102";;;Rastr_tradizionale;
"LINESTRING (663771.87455528 5103994.79255059,663772.804669999 5103995.01577812)";"54";CENTRO STORICO _PIEDICASTELLO;Metallo 4 posti;"4";;"2022";"2";"8";54.JPG;"1500";"1";;;Rastr_tradizionale;
"LINESTRING (663700.662258975 5106302.98619107,663701.456132814 5106301.55650385)";"299";CENTRO STORICO_PIEDICASTELLO;Verona 90;"6";VIA DEL BRENNERO - nr. posti 6;"2022";"1";"6";299.jpg;"400";"312";;UFFICI COMUNALI TOP CENTER;Rastr_bloccatelaio;
"LINESTRING (662511.779238508 5107275.1770893,662516.023040499 5107274.76397583)";"66";GARDOLO;Onda;"6";VIA L. CANEPPELE - nr. posti 12;"2022";"2";"12";66.jpg;"5080";"19";;PARCO RONCAFORT;Rastr_tradizionale;
"LINESTRING (664222.07798233 5104142.08551736,664224.012620944 5104143.35047338)";"105";CENTRO STORICO_PIEDICASTELLO;Metallo 4 posti;"4";;"2022";"2";"8";105.jpg;"3310";"40";;;Rastr_tradizionale;
"LINESTRING (664064.553753656 5104385.18030011,664067.455711577 5104383.76652574)";"106";CENTRO STORICO_PIEDICASTELLO;Metallo 4 posti;"4";;"2022";"2";"8";106.jpg;"2650";"3";;;Rastr_tradizionale;
"LINESTRING (664762.832527253 5096919.85176278,664764.664157241 5096919.42079102)";"407";MATTARELLO;Rotonda 6 posti;"6";;"2023";"1";"6";407.JPG;"7730";"6";;CIRCOLO ANZIANI MATTARELLO;Rastr_tradizionale;
"LINESTRING (663572.279771845 5102844.09132535,663572.576466579 5102842.03495866)";"164";S. GIUSEPPE_S. CHIARA;Con gancio 5 posti;"5";;"2022";"1";"5";164.jpg;"3842";"6";;;Rastr_bloccatelaio;
"LINESTRING (664804.151944917 5096940.53840734,664805.175502851 5096941.83132263)";"408";MATTARELLO;Archetto;"2";;"2023";"5";"10";408.JPG;"7730";"11";;SCUOLA PRIMARIA MATTARELLO;Rastr_bloccatelaio;SCUOLA
"LINESTRING (663574.912169177 5102823.35233041,663574.58551858 5102825.29751435)";"165";S. GIUSEPPE_S. CHIARA;Con gancio 5 posti;"5";;"2022";"1";"5";165.jpg;"3842";"6";;;Rastr_bloccatelaio;
"LINESTRING (664973.658525987 5096973.45387565,664974.951441273 5096973.56161859)";"410";MATTARELLO;Bronzetti 7 posti;"7";;"2023";"1";"7";410.JPG;"7750";"1";;"SCUOLA SECONDARIA ""A. FOGAZZARO""";Rastr_tradizionale;SCUOLA
"LINESTRING (663581.727644863 5103635.36578151,663584.339098277 5103633.87352242,663587.416882657 5103633.12739287,663590.774465618 5103633.22065907)";"157";CENTRO STORICO_PIEDICASTELLO;Spirale;"6";;"2022";"3";"18";157.jpg;"3690";"1";A;;Rastr_tradizionale;
"LINESTRING (663541.016951461 5103587.7533898,663542.649109845 5103587.846656)";"158";CENTRO STORICO_PIEDICASTELLO;Spirale;"6";;"2022";"1";"6";158.jpg;"3440";"27";;;Rastr_tradizionale;
"LINESTRING (664507.479498651 5103740.44704187,664512.185937195 5103739.46653384)";"128";S. GIUSEPPE_S. CHIARA;Metallo 4 posti;"4";;"2022";"2";"8";128.jpg;"1400";"2";;;Rastr_tradizionale;
"LINESTRING (663952.742291686 5102370.20104161,663954.792812522 5102359.74999994)";"84";S. GIUSEPPE_S. CHIARA;Archetto;"2";;"2022";"12";"24";84.jpg;"3530";"4";;;Rastr_bloccatelaio;
"LINESTRING (664975.705641856 5096974.90840535,664976.136613618 5096976.20132063)";"411";MATTARELLO;Bronzetti 7 posti;"7";;"2023";"1";"7";411.JPG;"7750";"1";;"SCUOLA SECONDARIA ""A. FOGAZZARO""";Rastr_tradizionale;SCUOLA
"LINESTRING (664651.246488534 5103433.0822872,664658.796400364 5103430.72906793)";"136";S. GIUSEPPE_S. CHIARA;Bronzetti 5 posti;"5";;"2022";"2";"10";136.jpg;"210";"24";;;Rastr_tradizionale;
"LINESTRING (664581.697828339 5103760.04494612,664580.545731404 5103760.75581444)";"151";S. GIUSEPPE_S. CHIARA;Archetto Venezia;"3";;"2022";"1";"3";151.jpg;"1400";"1";;;Rastr_bloccatelaio;
"LINESTRING (664586.31847243 5103767.31909007,664585.362477101 5103767.93190759)";"152";S. GIUSEPPE_S. CHIARA;Archetto Venezia;"3";;"2022";"1";"3";152.jpg;"1400";"1";;;Rastr_bloccatelaio;
"LINESTRING (665000.826057949 5101727.67666535,665001.024551881 5101729.86009861)";"448";OLTREFERSINA;Rotonda 6 posti;"6";;"2024";"1";"6";448.JPG;"2080";"22";;"SCUOLA PRIMARIA ""O. WINKLER""";Rastr_tradizionale;SCUOLA
"LINESTRING (665001.074175364 5101730.60445085,665001.371916262 5101733.78035376)";"449";OLTREFERSINA;Rotonda 6 posti;"6";;"2024";"1";"6";449.JPG;"2080";"22";;"SCUOLA PRIMARIA ""O. WINKLER""";Rastr_tradizionale;SCUOLA
"LINESTRING (663809.646904883 5103287.30800618,663813.097754038 5103287.91423643,663813.097754038 5103287.91423643)";"160";S. GIUSEPPE_S. CHIARA;Con gancio 9 posti;"9";;"2022";"1";"9";160.jpg;"1600";"6";;CIMITERO TRENTO;Rastr_bloccatelaio;
"LINESTRING (665000.424417883 5101723.68197497,665000.734564652 5101727.18043052)";"447";OLTREFERSINA;Bronzetti 5 posti;"5";;"2024";"1";"5";447.JPG;"2080";"22";;"SCUOLA PRIMARIA ""O. WINKLER""";Rastr_tradizionale;SCUOLA
"LINESTRING (665001.999963469 5101737.19196822,665002.297704367 5101738.97841361)";"450";OLTREFERSINA;Bronzetti 5 posti;"5";;"2024";"1";"5";450.JPG;"2080";"22";;"SCUOLA PRIMARIA ""O. WINKLER""";Rastr_tradizionale;SCUOLA
"LINESTRING (664505.665558796 5103723.14107514,664510.028819529 5103722.06251631)";"129";S. GIUSEPPE_S. CHIARA;Metallo 4 posti;"4";;"2022";"2";"8";129.jpg;"1400";"2";;;Rastr_tradizionale;
"LINESTRING (664615.130930413 5103715.41601561,664617.189997276 5103714.28843138)";"153";S. GIUSEPP_S. CHIARA;Verona 90;"6";;"2022";"1";"6";153.jpg;"1400";"5";;;Rastr_bloccatelaio;
"LINESTRING (664570.624215776 5103987.19188759,664568.221971103 5103983.85816029)";"127";S. GIUSEPPE_S. CHIARA;Verona 90;"6";;"2022";"2";"12";127.jpg;"3400";;;;Rastr_bloccatelaio;
"LINESTRING (664892.906730483 5096950.03842622,664892.79591081 5096948.27725894)";"409";MATTARELLO;Archetto;"2";;"2023";"5";"10";409.JPG;"7755";"5";;;Rastr_bloccatelaio;
"LINESTRING (663573.077205429 5103656.67710669,663574.662730716 5103661.57358184)";"156";CENTRO STORICO_PIEDICASTELLO;Spirale;"6";;"2022";"2";"12";156.jpg;"3690";"16";;;Rastr_tradizionale;
"LINESTRING (664868.514883971 5097085.15636917,664868.461012501 5097084.72539741,664868.622626912 5097085.80282681)";"413";MATTARELLO;Bronzetti 7 posti;"7";;"2023";"1";"7";412.JPG;"7700";"1";;PARCO MATTARELLO;Rastr_tradizionale;
"LINESTRING (663558.481046168 5102897.03562007,663559.553607392 5102891.0665837)";"161";S. GIUSEPPE_s. CHIARA;Con gancio 5 posti;"5";;"2022";"3";"15";161.jpg;"3842";"14";;;Rastr_bloccatelaio;
"LINESTRING (664868.151251547 5097083.05538183,664868.097380077 5097082.62441007,664868.258994488 5097083.70183947)";"412";MATTARELLO;Bronzetti 7 posti;"7";;"2023";"1";"7";412.JPG;"7700";"1";;PARCO MATTARELLO;Rastr_tradizionale;
"LINESTRING (663520.090349326 5102958.4514084,663520.078691052 5102957.6819623)";"166";S. GIUSEPPE_S. CHIARA;Con gancio 5 posti;"5";;"2022";"1";"5";166.jpg;"4067";;;;Rastr_bloccatelaio;
"LINESTRING (664435.657285462 5103704.80557499,664433.500167796 5103697.64786637)";"131";CENTRO STORICO_PIEDICASTELLO;Metallo 4 posti;"4";;"2022";"5";"20";131.jpg;"2750";"2";;;Rastr_tradizionale;
"LINESTRING (664322.653735017 5103578.85931854,664329.909494438 5103580.18300438)";"132";CENTRO STORICO_PIEDICASTELLO;Metallo 4 posti;"4";;"2022";"3";"12";132.jpg;"1260";"26";;;Rastr_tradizionale;
"LINESTRING (664396.24086266 5103522.52913223,664402.12391084 5103520.66616697)";"133";S. GIUSEPPE_S. CHIARA;Metallo 5 posti;"5";;"2022";"2";"10";133.jpg;"210";"2";;;Rastr_tradizionale;
"LINESTRING (664402.712215658 5103520.37201456,664405.261536535 5103519.48955734)";"134";S. GIUSEPPE_S. CHIARA;Metallo 4 posti;"4";;"2022";"1";"4";134.jpg;"210";"2";;;Rastr_tradizionale;
"LINESTRING (664541.454101887 5103713.72819806,664551.651385398 5103710.98277557)";"130";S. GIUSEPPE_S. CHIARA;Verona 90;"6";;"2022";"2";"12";130.JPG;"1400";"2";;;Rastr_bloccatelaio;
"LINESTRING (664886.959128589 5097167.87685344,664886.662835503 5097166.88023124)";"414";MATTARELLO;Bronzetti 7 posti;"7";;"2023";"1";"7";414.JPG;"7901";;;PARCO MATTARELLO;Rastr_tradizionale;
"LINESTRING (663320.093949223 5100364.44828217,663322.087193621 5100364.9331254)";"435";RAVINA;Bronzetti 5 posti;"5";;"2023";"1";"5";435.JPG;"8760";"2";A;PALESTRA;Rastr_tradizionale;
"LINESTRING (664802.057691513 5106227.41506546,664802.865763566 5106226.93022223)";"415";MARTIGNANO;Metallo 4 posti;"4";;"2023";"1";"4";415.JPG;"6160";"4";"1";;Rastr_tradizionale;
"LINESTRING (665597.308334976 5104828.42685519,665596.823491744 5104829.18105577)";"416";COGNOLA;Argentario;"4";;"2023";"1";"4";416.JPG;"6198";"13";;CENTRO CIVICO COGNOLA;Rastr_tradizionale;
"LINESTRING (665644.553614363 5104814.52801587,665645.173136271 5104814.58188734)";"417";COGNOLA;Argentario;"4";;"2023";"1";"4";417.JPG;"6198";"9";;BIBILOTECA COMUNALE;Rastr_tradizionale;
"LINESTRING (663982.35801364 5104810.96878119,663983.583648678 5104810.57657798)";"191";CENTRO STORICO_PIEDICASTELLO;Verona 45;"6";;"2022";"1";"6";191.jpg;"3190";"3";;"SCUOLA PRIMARIA ""B. S. BELLESINI""";Rastr_bloccatelaio;SCUOLA
"LINESTRING (663751.531646418 5103701.63249855,663750.992367001 5103701.19126993)";"120";S. GIUSEPPE_S. CHIARA;Metallo 4 posti;"4";;"2022";"1";"4";120.jpg;"1220";"31";;;Rastr_tradizionale;
"LINESTRING (666533.338598004 5103492.85883323,666534.011991382 5103490.51542427)";"422";POVO;Spirale;"6";;"2023";"1";"6";422.JPG;"7503";"1";;BIBILIOTECA COMUNALE;Rastr_tradizionale;
"LINESTRING (663708.60224719 5104471.06625843,663709.778856826 5104471.16430923)";"178";CENTRO STORICO_PIEDICASTELLO;3 posti doppia;"6";;"2022";"1";"6";178.jpg;"1520";"83";;;Rastr_tradizionale;
"LINESTRING (663845.615856374 5104552.43632844,663846.474064186 5104552.20313801)";"179";CENTRO STORICO_PIEDICASTELLO;3 posti doppia;"6";;"2022";"1";"6";179.jpg;"480";"22";"1";;Rastr_tradizionale;
"LINESTRING (665011.738921496 5106093.18082952,665013.274258398 5106092.93840791)";"421";MARTIGNANO;Archetto;"2";;"2023";"5";"10";421.JPG;"6485";"2";;NIDO MARTINGNANO;Rastr_bloccatelaio;SCUOLA
"LINESTRING (665002.396951333 5101739.67314237,665002.595445265 5101741.23628209)";"451";OLTREFERSINA;Bronzetti 5 posti;"5";;"2024";"1";"5";451.JPG;"2080";"22";;"SCUOLA PRIMARIA ""O. WINKLER""";Rastr_tradizionale;SCUOLA
"LINESTRING (665002.917997905 5101743.6926445,665003.091680095 5101745.20616073)";"452";OLTREFERSINA;Rotonda 6 posti;"6";;"2024";"1";"6";452.JPG;"2080";"22";;"SCUOLA PRIMARIA ""O. WINKLER""";Rastr_tradizionale;SCUOLA
